RT(milliseconds);TIC
135500;0,41640934
135600;0,1
135700;0,1
135800;0,8576404
135900;0,5294366
136000;0,1
136100;0,1
136200;0,13402715
136300;0,90269643
136400;2,528467
136500;4,7554607
136600;6,8587656
136700;9,204747
136800;11,590305
136900;12,624111
137000;12,915842
137100;13,446878
137200;13,0913725
137300;11,2805
137400;9,231766
137500;7,977367
137600;7,9794197
137700;8,696421
137800;9,382107
137900;9,58402
138000;9,772676
138100;10,041871
138200;9,823286
138300;9,447222
138400;9,525145
138500;10,4916
138600;11,37205
138700;11,096272
138800;10,018735
138900;9,76402
139000;9,665212
139100;8,101451
139200;5,8750625
139300;4,1586742
139400;2,5142012
139500;1,7564727
139600;1,2020895
139700;0,3682769
139800;0,64722955
139900;1,6766187
140000;2,5078397
140100;2,5222409
140200;1,946516
140300;2,1681786
140400;2,0461178
140500;2,004347
140600;2,8686168
140700;3,6771939
140800;3,5892358
140900;2,9021628
141000;2,2387395
141100;2,7207792
141200;2,5273788
141300;2,3398006
141400;3,346732
141500;5,1618834
141600;6,7044835
141700;7,825806
141800;8,3060665
141900;8,480148
142000;8,601746
142100;8,414648
142200;8,059759
142300;7,3682456
142400;6,742405
142500;6,299683
142600;6,0610876
142700;6,0028625
142800;5,070466
142900;4,3862104
143000;4,4833245
143100;4,968202
143200;6,454644
143300;7,7017794
143400;7,995244
143500;8,579744
143600;8,280725
143700;7,2006187
143800;7,0273566
143900;7,348595
144000;7,253922
144100;6,231094
144200;5,2810946
144300;4,2087665
144400;3,6172926
144500;3,7244358
144600;3,5701225
144700;2,951809
144800;3,1070848
144900;3,6795754
145000;3,7005012
145100;2,9831653
145200;2,0877857
145300;1,933866
145400;1,9759197
145500;2,1743326
145600;2,2755089
145700;2,1872509
145800;2,1177886
145900;1,454355
146000;2,1654751
146100;2,9791179
146200;2,310069
146300;1,9961826
146400;2,8763156
146500;3,4140496
146600;2,5798008
146700;1,948236
146800;1,801519
146900;1,9747584
147000;2,3860285
147100;2,5344663
147200;2,3527126
147300;1,9686353
147400;1,0346196
147500;0,77059627
147600;1,2167182
147700;1,1213026
147800;0,8843283
147900;1,1397847
148000;1,2830011
148100;0,9300882
148200;0,8213492
148300;0,7456495
148400;0,93947494
148500;1,8271273
148600;2,2914202
148700;1,9833966
148800;2,099347
